Direction,Name of Asset,Coupon Rate,Maturity Date,Trade Date,Settlement Date,Ytm,Price,Face Value,Consideration,Principal ,Accrued Interest
Sell,KENINT 9 1/2 03/05/36,0.095,2036-03-05,2025-10-14,2025-10-16,0.0965156553729467,99.0,500000,500409.72222222225,495000.0,5409.722222222222
Sell,ETI 10.125% 10/15/2029,0.10125,2029-10-15,2025-11-20,2025-11-24,0.08655778550826519,104.75,500000,529234.375,523750.0,5484.375
Sell,ETI 10.125% 10/15/2029,0.10125,2029-10-15,2025-11-20,2025-11-24,0.08881138542446092,104.0,500000,525484.375,520000.0,5484.375
Buy,ANGOL 9.875 10/15/35,0.09875,2035-10-15,2025-12-05,2025-12-09,0.10096571460743918,100.25,500000,508656.25,501250.0,7406.25
Sell,NIGERIA 10.375 9/12/34,0.10375,2034-12-09,2026-03-31,2026-04-02,0.08039838108427516,114.375,1000000,1176315.9722222222,1143750.0,32565.972222222223
Sell,ANGOL 9.875 10/15/35,0.09875,2035-10-15,2026-03-31,2026-04-02,0.10096571460743918,99.75,2000000,2086618.0555555555,1995000.0,91618.05555555556
Sell,NIGERIA 10.375 9/12/34,0.10375,2034-12-09,2026-04-02,2026-04-06,0.08019467641685199,114.5,500000,589359.375,572500.0,16859.375
Sell,SEPLLN 9 1/8 03/21/30,0.09125,2030-03-21,2026-04-02,2026-04-07,0.07347588452703958,106.0,2000000,2128111.111111111,2120000.0,8111.111111111111
Sell,ANGOL 9.875 10/15/35,0.09875,2035-10-15,2026-04-02,2026-04-07,0.09792244336143727,100.5,500000,526090.2777777778,502500.0,23590.277777777777
Sell,ANGOL 9.875 10/15/35,0.09875,2035-10-15,2026-04-02,2026-04-07,0.0975149010511976,100.75,3000000,3164041.6666666665,3022500.0,141541.6666666667
